# participant_id: P10
# gesture: medium
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_161335
# samples: 5522
# duration_sec: 30.405
# nominal_sample_rate: 200.0
# effective_sample_rate: 181.58
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1306307.396726,8.000000,3.000000,27.000000,48.000000,9.000000,-8.000000,-23.000000,9.000000
1306307.396738,-74.000000,-13.000000,-39.000000,-95.000000,-40.000000,-6.000000,-19.000000,-77.000000
1306307.412387,89.000000,26.000000,50.000000,127.000000,37.000000,25.000000,52.000000,89.000000
1306307.412399,-9.000000,-1.000000,-25.000000,3.000000,5.000000,-10.000000,-21.000000,-26.000000
1306307.412815,-25.000000,-12.000000,-16.000000,-58.000000,-44.000000,-4.000000,-4.000000,-10.000000
1306307.412842,4.000000,7.000000,7.000000,12.000000,22.000000,4.000000,-2.000000,-9.000000
1306307.413803,-6.000000,-20.000000,6.000000,53.000000,-1.000000,-9.000000,-2.000000,-11.000000
1306307.413812,-6.000000,-4.000000,-17.000000,-61.000000,-7.000000,-15.000000,-20.000000,3.000000
1306307.414578,7.000000,8.000000,7.000000,-67.000000,-47.000000,-5.000000,4.000000,2.000000
1306307.414586,7.000000,-10.000000,1.000000,35.000000,24.000000,2.000000,-1.000000,1.000000
1306307.434068,-37.000000,-8.000000,-31.000000,-39.000000,-1.000000,-16.000000,-41.000000,-32.000000
1306307.434088,-1.000000,12.000000,-3.000000,-45.000000,-9.000000,9.000000,33.000000,-4.000000
1306307.435114,53.000000,11.000000,47.000000,127.000000,74.000000,19.000000,32.000000,69.000000
1306307.435135,-15.000000,-21.000000,-42.000000,-62.000000,-25.000000,-13.000000,-13.000000,-11.000000
1306307.441359,-21.000000,-2.000000,-36.000000,-59.000000,-12.000000,-12.000000,-22.000000,-28.000000
1306307.441377,-16.000000,-10.000000,-3.000000,0.000000,-10.000000,12.000000,-9.000000,-22.000000
1306307.449733,18.000000,-8.000000,17.000000,-22.000000,12.000000,6.000000,27.000000,6.000000
1306307.449742,-1.000000,-10.000000,21.000000,33.000000,13.000000,2.000000,1.000000,13.000000
1306307.478929,5.000000,9.000000,-16.000000,0.000000,3.000000,-6.000000,-22.000000,-9.000000
1306307.478958,-18.000000,-1.000000,14.000000,-18.000000,-21.000000,-16.000000,-18.000000,-25.000000
