# participant_id: P10
# gesture: baseline
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_161025
# samples: 5534
# duration_sec: 30.226
# nominal_sample_rate: 200.0
# effective_sample_rate: 183.05
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1306117.901185,1.000000,-16.000000,-3.000000,-2.000000,-3.000000,0.000000,3.000000,-1.000000
1306117.901195,-3.000000,7.000000,0.000000,-4.000000,5.000000,5.000000,-3.000000,1.000000
1306117.923630,9.000000,19.000000,18.000000,26.000000,1.000000,-1.000000,-6.000000,3.000000
1306117.923640,-5.000000,-7.000000,-27.000000,-11.000000,-8.000000,-11.000000,-4.000000,-8.000000
1306117.938805,3.000000,9.000000,-6.000000,-11.000000,-2.000000,-1.000000,2.000000,-1.000000
1306117.938815,-3.000000,12.000000,6.000000,12.000000,9.000000,7.000000,-7.000000,-6.000000
1306117.953888,2.000000,-6.000000,0.000000,-5.000000,-10.000000,-11.000000,0.000000,0.000000
1306117.953910,-3.000000,11.000000,-5.000000,-12.000000,-9.000000,-1.000000,3.000000,-8.000000
1306117.960965,2.000000,21.000000,1.000000,2.000000,-2.000000,1.000000,-6.000000,0.000000
1306117.960976,-4.000000,-1.000000,-6.000000,4.000000,3.000000,2.000000,-5.000000,1.000000
1306117.962174,-3.000000,-16.000000,6.000000,-6.000000,-4.000000,-6.000000,-2.000000,-4.000000
1306117.962183,3.000000,2.000000,7.000000,1.000000,2.000000,2.000000,-3.000000,0.000000
1306117.963033,-3.000000,8.000000,-3.000000,4.000000,7.000000,8.000000,-9.000000,2.000000
1306117.963044,-4.000000,-5.000000,-7.000000,-2.000000,0.000000,-2.000000,5.000000,-5.000000
1306117.964273,1.000000,-5.000000,-2.000000,-9.000000,-5.000000,-4.000000,0.000000,-1.000000
1306117.964282,2.000000,-2.000000,-1.000000,-8.000000,-7.000000,-13.000000,7.000000,-1.000000
1306117.976890,-9.000000,6.000000,-3.000000,1.000000,4.000000,8.000000,-1.000000,-1.000000
1306117.976900,-6.000000,-13.000000,2.000000,1.000000,-4.000000,-2.000000,-4.000000,0.000000
1306117.983923,4.000000,-12.000000,4.000000,8.000000,-13.000000,-8.000000,6.000000,0.000000
1306117.983934,5.000000,-5.000000,5.000000,3.000000,11.000000,5.000000,1.000000,1.000000
1306117.992098,1.000000,-8.000000,3.000000,10.000000,5.000000,1.000000,-10.000000,0.000000
1306117.992202,-8.000000,0.000000,-2.000000,-5.000000,-1.000000,-4.000000,3.000000,-8.000000
1306118.021205,0.000000,-1.000000,0.000000,-2.000000,0.000000,-6.000000,5.000000,-6.000000
1306118.021216,1.000000,8.000000,-6.000000,4.000000,6.000000,5.000000,-1.000000,3.000000
1306118.036247,-6.000000,5.000000,-15.000000,-4.000000,-10.000000,-12.000000,-2.000000,-3.000000
1306118.036257,8.000000,-5.000000,45.000000,2.000000,-6.000000,-9.000000,5.000000,-1.000000
1306118.043711,-3.000000,-3.000000,-22.000000,-17.000000,-1.000000,3.000000,-3.000000,-2.000000
1306118.043721,-7.000000,-3.000000,-2.000000,1.000000,-3.000000,0.000000,-5.000000,-4.000000
1306118.081215,2.000000,-19.000000,-14.000000,-22.000000,-8.000000,-13.000000,2.000000,0.000000
1306118.081225,0.000000,5.000000,-2.000000,6.000000,4.000000,0.000000,-3.000000,-4.000000
1306118.096413,-1.000000,-7.000000,1.000000,3.000000,5.000000,7.000000,-6.000000,2.000000
1306118.096444,5.000000,0.000000,5.000000,-11.000000,-10.000000,-3.000000,1.000000,2.000000
1306118.104192,-4.000000,7.000000,6.000000,1.000000,2.000000,1.000000,3.000000,0.000000
1306118.104219,-1.000000,23.000000,2.000000,8.000000,6.000000,6.000000,-8.000000,-6.000000
1306118.104836,-2.000000,8.000000,-12.000000,-6.000000,-1.000000,-3.000000,-2.000000,-1.000000
1306118.104863,1.000000,-7.000000,-16.000000,-21.000000,-9.000000,-5.000000,7.000000,0.000000
1306118.106015,5.000000,2.000000,5.000000,6.000000,2.000000,1.000000,-4.000000,2.000000
1306118.106035,2.000000,11.000000,14.000000,-3.000000,-3.000000,0.000000,-4.000000,-1.000000
1306118.111820,0.000000,-4.000000,-5.000000,-1.000000,-7.000000,-5.000000,0.000000,-6.000000
1306118.111857,2.000000,-15.000000,-1.000000,-12.000000,-4.000000,-7.000000,4.000000,-6.000000
