# participant_id: P4
# gesture: hard
# trial_number: 2
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_135113
# samples: 5686
# duration_sec: 30.495
# nominal_sample_rate: 200.0
# effective_sample_rate: 186.42
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1297764.927102,28.000000,-17.000000,-39.000000,-96.000000,-5.000000,0.000000,5.000000,15.000000
1297764.927112,58.000000,42.000000,11.000000,49.000000,11.000000,5.000000,-3.000000,-14.000000
1297764.934710,-22.000000,-128.000000,11.000000,-68.000000,-17.000000,-18.000000,-31.000000,-22.000000
1297764.934727,78.000000,6.000000,-68.000000,-103.000000,6.000000,9.000000,28.000000,27.000000
1297764.972341,-27.000000,-67.000000,18.000000,39.000000,-8.000000,-2.000000,-2.000000,-18.000000
1297764.972352,13.000000,51.000000,19.000000,91.000000,2.000000,-6.000000,-43.000000,-7.000000
1297764.979879,23.000000,-33.000000,-10.000000,27.000000,4.000000,2.000000,-18.000000,-25.000000
1297764.979889,31.000000,34.000000,28.000000,-78.000000,8.000000,13.000000,20.000000,29.000000
1297765.009611,46.000000,-33.000000,-48.000000,19.000000,-21.000000,-10.000000,1.000000,-12.000000
1297765.009629,7.000000,127.000000,56.000000,35.000000,3.000000,13.000000,12.000000,4.000000
1297765.010122,49.000000,-45.000000,-20.000000,69.000000,8.000000,3.000000,11.000000,21.000000
1297765.010132,53.000000,121.000000,11.000000,-128.000000,-6.000000,-12.000000,1.000000,10.000000
1297765.010540,-22.000000,-33.000000,6.000000,5.000000,5.000000,1.000000,-8.000000,-12.000000
1297765.010549,31.000000,-16.000000,21.000000,67.000000,1.000000,-3.000000,-4.000000,2.000000
1297765.011238,-71.000000,-19.000000,-26.000000,-37.000000,-18.000000,0.000000,5.000000,4.000000
1297765.011246,24.000000,-104.000000,-18.000000,127.000000,4.000000,-7.000000,-7.000000,-12.000000
1297765.012644,-128.000000,68.000000,39.000000,57.000000,0.000000,-5.000000,-39.000000,-64.000000
1297765.012655,-32.000000,106.000000,-7.000000,54.000000,-2.000000,-8.000000,-11.000000,12.000000
1297765.013465,-13.000000,23.000000,-9.000000,-7.000000,9.000000,4.000000,10.000000,15.000000
1297765.013474,97.000000,30.000000,-3.000000,9.000000,5.000000,6.000000,1.000000,-6.000000
1297765.017117,1.000000,-6.000000,-5.000000,-79.000000,0.000000,8.000000,23.000000,13.000000
