# participant_id: P2
# gesture: baseline
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_131038
# samples: 5642
# duration_sec: 32.363
# nominal_sample_rate: 200.0
# effective_sample_rate: 174.30
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1295328.721256,5.000000,17.000000,3.000000,17.000000,14.000000,19.000000,12.000000,-13.000000
1295328.721266,1.000000,-11.000000,-8.000000,-8.000000,-5.000000,-11.000000,2.000000,1.000000
1295328.728796,-1.000000,-7.000000,0.000000,-12.000000,-11.000000,-19.000000,-13.000000,4.000000
1295328.728807,-8.000000,-1.000000,-6.000000,6.000000,8.000000,9.000000,1.000000,-8.000000
1295328.743989,-2.000000,-4.000000,7.000000,-9.000000,-1.000000,4.000000,4.000000,-5.000000
1295328.743999,2.000000,-17.000000,-5.000000,-17.000000,-12.000000,-27.000000,-15.000000,11.000000
1295328.744606,1.000000,6.000000,3.000000,3.000000,2.000000,4.000000,0.000000,5.000000
1295328.744617,4.000000,0.000000,-15.000000,5.000000,4.000000,14.000000,15.000000,-9.000000
1295328.746267,-5.000000,-8.000000,-7.000000,-14.000000,-10.000000,-11.000000,-7.000000,-8.000000
1295328.746275,-3.000000,5.000000,2.000000,7.000000,1.000000,-3.000000,1.000000,14.000000
1295328.751036,-6.000000,18.000000,6.000000,8.000000,18.000000,23.000000,15.000000,-5.000000
1295328.751045,6.000000,-6.000000,3.000000,0.000000,-3.000000,-3.000000,1.000000,4.000000
1295328.766486,-3.000000,-6.000000,9.000000,-6.000000,-11.000000,-19.000000,-17.000000,-1.000000
1295328.766515,4.000000,6.000000,-12.000000,7.000000,5.000000,6.000000,-1.000000,-12.000000
1295328.796197,3.000000,-6.000000,-23.000000,-12.000000,2.000000,1.000000,7.000000,4.000000
1295328.796209,4.000000,-15.000000,18.000000,-12.000000,-14.000000,-25.000000,-12.000000,11.000000
1295328.803862,-1.000000,10.000000,-12.000000,6.000000,2.000000,2.000000,1.000000,-9.000000
1295328.803871,2.000000,9.000000,4.000000,8.000000,10.000000,12.000000,10.000000,-9.000000
1295328.804578,-19.000000,-15.000000,-1.000000,-13.000000,-8.000000,-14.000000,-12.000000,-12.000000
1295328.804586,0.000000,0.000000,-3.000000,12.000000,0.000000,-1.000000,-6.000000,1.000000
1295328.806001,-3.000000,13.000000,2.000000,11.000000,8.000000,20.000000,14.000000,-14.000000
1295328.806010,1.000000,-11.000000,-7.000000,-8.000000,-11.000000,-5.000000,-1.000000,-1.000000
1295328.811145,-4.000000,0.000000,9.000000,-3.000000,-6.000000,-17.000000,-11.000000,1.000000
1295328.811154,-7.000000,8.000000,9.000000,17.000000,10.000000,8.000000,2.000000,-8.000000
1295328.840847,1.000000,-7.000000,-3.000000,-6.000000,-4.000000,3.000000,1.000000,0.000000
1295328.840857,4.000000,-14.000000,-13.000000,-27.000000,-16.000000,-22.000000,-16.000000,7.000000
1295328.856183,-5.000000,5.000000,17.000000,8.000000,2.000000,5.000000,3.000000,-5.000000
1295328.856211,4.000000,3.000000,3.000000,2.000000,3.000000,16.000000,11.000000,-7.000000
1295328.886023,0.000000,-2.000000,2.000000,-6.000000,-7.000000,-7.000000,-4.000000,1.000000
1295328.886043,-3.000000,-1.000000,-15.000000,4.000000,3.000000,-5.000000,-8.000000,0.000000
1295328.901428,-5.000000,13.000000,1.000000,13.000000,13.000000,18.000000,13.000000,-12.000000
1295328.901457,1.000000,-8.000000,-23.000000,-14.000000,-2.000000,-3.000000,-6.000000,3.000000
1295328.916267,-1.000000,-5.000000,-2.000000,-6.000000,-3.000000,-17.000000,-15.000000,7.000000
1295328.916278,4.000000,13.000000,21.000000,21.000000,8.000000,14.000000,5.000000,-7.000000
1295328.923530,0.000000,-8.000000,-24.000000,-19.000000,-4.000000,-3.000000,1.000000,-4.000000
1295328.923572,-7.000000,-10.000000,-17.000000,-17.000000,-16.000000,-17.000000,-18.000000,8.000000
1295328.925433,-1.000000,-7.000000,-10.000000,-7.000000,-11.000000,-12.000000,-9.000000,13.000000
1295328.925442,-5.000000,11.000000,7.000000,10.000000,11.000000,9.000000,3.000000,-5.000000
1295328.946030,1.000000,6.000000,2.000000,10.000000,6.000000,6.000000,7.000000,0.000000
1295328.946060,4.000000,-2.000000,1.000000,-7.000000,3.000000,11.000000,8.000000,1.000000
1295328.961134,-4.000000,-20.000000,-9.000000,-20.000000,-10.000000,-19.000000,-11.000000,2.000000
