# participant_id: P9
# gesture: soft
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_155251
# samples: 5618
# duration_sec: 30.593
# nominal_sample_rate: 200.0
# effective_sample_rate: 183.60
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1305062.919444,-3.000000,16.000000,122.000000,-30.000000,-62.000000,-13.000000,0.000000,-3.000000
1305062.919456,-9.000000,-7.000000,4.000000,-22.000000,-7.000000,9.000000,1.000000,-8.000000
1305062.926971,-20.000000,5.000000,14.000000,30.000000,31.000000,-3.000000,-16.000000,-17.000000
1305062.926982,21.000000,3.000000,-19.000000,1.000000,-3.000000,22.000000,29.000000,30.000000
1305062.941926,-43.000000,-36.000000,8.000000,5.000000,16.000000,-1.000000,0.000000,-10.000000
1305062.941972,26.000000,6.000000,8.000000,-12.000000,-2.000000,2.000000,0.000000,3.000000
1305062.942454,-8.000000,2.000000,16.000000,15.000000,8.000000,-7.000000,-7.000000,-7.000000
1305062.942503,-10.000000,-2.000000,4.000000,-11.000000,-14.000000,-12.000000,-8.000000,-9.000000
1305062.943778,0.000000,7.000000,4.000000,21.000000,12.000000,-7.000000,-4.000000,-3.000000
1305062.943796,-7.000000,8.000000,31.000000,-8.000000,-15.000000,-6.000000,-7.000000,-1.000000
1305062.944470,12.000000,-4.000000,3.000000,1.000000,4.000000,-1.000000,-5.000000,1.000000
1305062.944478,-1.000000,37.000000,27.000000,12.000000,-8.000000,-4.000000,5.000000,2.000000
1305062.944887,-19.000000,-6.000000,-4.000000,44.000000,39.000000,-10.000000,-21.000000,-19.000000
1305062.944904,10.000000,-23.000000,-30.000000,-22.000000,-12.000000,16.000000,7.000000,8.000000
1305062.964757,0.000000,94.000000,33.000000,28.000000,23.000000,-13.000000,-7.000000,-4.000000
1305062.964795,-35.000000,-16.000000,-52.000000,11.000000,9.000000,0.000000,1.000000,-7.000000
1305062.965261,23.000000,13.000000,-8.000000,17.000000,19.000000,1.000000,-3.000000,4.000000
1305062.965279,-25.000000,2.000000,38.000000,44.000000,64.000000,6.000000,-10.000000,-9.000000
1305062.972023,10.000000,4.000000,3.000000,-30.000000,-43.000000,7.000000,19.000000,8.000000
1305062.972033,-12.000000,-2.000000,-12.000000,12.000000,7.000000,-13.000000,-3.000000,1.000000
1305062.979871,3.000000,16.000000,32.000000,-10.000000,-6.000000,7.000000,-3.000000,2.000000
1305062.979887,1.000000,8.000000,52.000000,20.000000,10.000000,3.000000,-2.000000,0.000000
1305063.001952,-13.000000,-16.000000,-96.000000,-2.000000,12.000000,0.000000,-7.000000,-2.000000
1305063.001962,-19.000000,-20.000000,-24.000000,18.000000,1.000000,-17.000000,-14.000000,-19.000000
1305063.024408,23.000000,3.000000,30.000000,8.000000,12.000000,20.000000,19.000000,21.000000
1305063.024419,1.000000,-3.000000,-8.000000,0.000000,8.000000,5.000000,5.000000,5.000000
1305063.039854,-5.000000,-6.000000,10.000000,12.000000,-8.000000,-12.000000,-7.000000,-8.000000
1305063.039882,-10.000000,-15.000000,4.000000,2.000000,-6.000000,-4.000000,-6.000000,-4.000000
1305063.040359,-4.000000,-16.000000,-54.000000,0.000000,16.000000,-4.000000,-8.000000,-8.000000
1305063.040367,-60.000000,1.000000,-57.000000,-13.000000,-66.000000,-34.000000,-18.000000,-30.000000
1305063.041742,52.000000,31.000000,34.000000,-11.000000,-11.000000,18.000000,28.000000,31.000000
1305063.041758,-9.000000,-18.000000,68.000000,7.000000,-5.000000,0.000000,-4.000000,0.000000
1305063.042432,-17.000000,2.000000,-57.000000,8.000000,31.000000,7.000000,-9.000000,-16.000000
1305063.042441,-1.000000,1.000000,-75.000000,2.000000,2.000000,-13.000000,-6.000000,4.000000
1305063.054688,-14.000000,-5.000000,-15.000000,-8.000000,7.000000,3.000000,1.000000,-6.000000
1305063.054700,1.000000,43.000000,40.000000,16.000000,20.000000,11.000000,2.000000,-3.000000
1305063.062056,-7.000000,-3.000000,34.000000,23.000000,21.000000,-1.000000,4.000000,8.000000
1305063.062070,22.000000,19.000000,-30.000000,-28.000000,-36.000000,6.000000,4.000000,4.000000
1305063.077051,-5.000000,-29.000000,-33.000000,0.000000,2.000000,3.000000,0.000000,2.000000
1305063.077063,4.000000,11.000000,14.000000,10.000000,23.000000,5.000000,-1.000000,-3.000000
