# participant_id: P10
# gesture: soft
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_161110
# samples: 5531
# duration_sec: 30.466
# nominal_sample_rate: 200.0
# effective_sample_rate: 181.51
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1306161.903621,-5.000000,-5.000000,4.000000,9.000000,2.000000,-2.000000,-7.000000,1.000000
1306161.903631,-2.000000,-4.000000,-6.000000,-7.000000,-1.000000,-2.000000,0.000000,0.000000
1306161.941504,0.000000,-5.000000,-3.000000,-6.000000,1.000000,1.000000,1.000000,-4.000000
1306161.941514,-2.000000,7.000000,5.000000,8.000000,0.000000,3.000000,-7.000000,0.000000
1306161.948920,2.000000,7.000000,-6.000000,-15.000000,1.000000,-3.000000,-2.000000,0.000000
1306161.948949,-1.000000,-1.000000,-3.000000,-12.000000,-1.000000,-1.000000,0.000000,-2.000000
1306161.986158,2.000000,3.000000,-2.000000,9.000000,3.000000,0.000000,-5.000000,2.000000
1306161.986180,2.000000,-10.000000,-2.000000,-3.000000,0.000000,-3.000000,-3.000000,-1.000000
1306161.986935,-4.000000,-7.000000,-4.000000,-12.000000,1.000000,0.000000,4.000000,-6.000000
1306161.986962,-1.000000,4.000000,2.000000,3.000000,3.000000,2.000000,-3.000000,-4.000000
1306161.987818,4.000000,3.000000,1.000000,7.000000,3.000000,-2.000000,-7.000000,2.000000
1306161.987827,-1.000000,-10.000000,-5.000000,-20.000000,-7.000000,1.000000,3.000000,-5.000000
1306161.988602,-3.000000,2.000000,-3.000000,-5.000000,4.000000,5.000000,0.000000,-3.000000
1306161.988612,4.000000,4.000000,3.000000,1.000000,-4.000000,-4.000000,-8.000000,-1.000000
1306161.990121,-2.000000,9.000000,-1.000000,5.000000,3.000000,2.000000,-1.000000,1.000000
1306161.990159,-2.000000,-1.000000,-7.000000,-7.000000,-3.000000,-4.000000,3.000000,1.000000
1306162.001384,-1.000000,1.000000,5.000000,17.000000,-1.000000,2.000000,-5.000000,2.000000
1306162.001401,-4.000000,-13.000000,-1.000000,-10.000000,-5.000000,-5.000000,3.000000,-4.000000
1306162.023915,-3.000000,-3.000000,-2.000000,0.000000,3.000000,0.000000,-1.000000,-3.000000
1306162.023926,-3.000000,0.000000,0.000000,2.000000,1.000000,2.000000,-11.000000,0.000000
1306162.024217,-1.000000,2.000000,-3.000000,-7.000000,-1.000000,-3.000000,1.000000,-2.000000
1306162.024228,-4.000000,2.000000,-7.000000,-3.000000,-3.000000,2.000000,3.000000,-1.000000
1306162.038751,-3.000000,1.000000,5.000000,-7.000000,-10.000000,-2.000000,-3.000000,-4.000000
1306162.038761,6.000000,-16.000000,2.000000,3.000000,1.000000,-3.000000,-2.000000,0.000000
