# participant_id: P12
# gesture: soft
# trial_number: 2
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_180234
# samples: 5682
# duration_sec: 30.682
# nominal_sample_rate: 200.0
# effective_sample_rate: 185.16
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1312845.757487,-17.000000,12.000000,8.000000,-9.000000,-8.000000,-4.000000,-22.000000,-46.000000
1312845.757498,-9.000000,-5.000000,-17.000000,-18.000000,-7.000000,-6.000000,19.000000,31.000000
1312845.757982,18.000000,-15.000000,-4.000000,17.000000,-2.000000,5.000000,-5.000000,-1.000000
1312845.757996,-2.000000,3.000000,15.000000,16.000000,16.000000,7.000000,-4.000000,-16.000000
1312845.759206,11.000000,-18.000000,-12.000000,-4.000000,-5.000000,1.000000,4.000000,10.000000
1312845.759215,-34.000000,6.000000,-16.000000,-2.000000,7.000000,-2.000000,-8.000000,-23.000000
1312845.764621,3.000000,3.000000,61.000000,58.000000,7.000000,1.000000,-9.000000,-13.000000
1312845.764635,-1.000000,-8.000000,-84.000000,-19.000000,-1.000000,-2.000000,3.000000,6.000000
1312845.779445,6.000000,-12.000000,8.000000,-7.000000,-9.000000,4.000000,1.000000,4.000000
1312845.779464,-41.000000,6.000000,-25.000000,-17.000000,-13.000000,-15.000000,-10.000000,-14.000000
1312845.816961,-13.000000,-5.000000,3.000000,-10.000000,2.000000,3.000000,-11.000000,-34.000000
1312845.816990,23.000000,3.000000,61.000000,-3.000000,0.000000,-1.000000,13.000000,39.000000
1312845.824474,10.000000,-27.000000,-27.000000,-1.000000,-8.000000,10.000000,10.000000,-7.000000
1312845.824497,-11.000000,-14.000000,-13.000000,8.000000,6.000000,-7.000000,-10.000000,-4.000000
1312845.854600,-2.000000,0.000000,9.000000,3.000000,0.000000,1.000000,-4.000000,3.000000
1312845.854611,-3.000000,-7.000000,-22.000000,-34.000000,-24.000000,-9.000000,-2.000000,-11.000000
1312845.862018,-6.000000,-8.000000,11.000000,16.000000,12.000000,8.000000,-1.000000,-12.000000
1312845.862029,-19.000000,4.000000,24.000000,-19.000000,-15.000000,-11.000000,3.000000,8.000000
1312845.876666,10.000000,-15.000000,-94.000000,-32.000000,-11.000000,-3.000000,1.000000,-1.000000
1312845.876683,9.000000,45.000000,86.000000,11.000000,-7.000000,-2.000000,-6.000000,-1.000000
1312845.877330,-3.000000,0.000000,1.000000,10.000000,20.000000,4.000000,9.000000,0.000000
1312845.877366,1.000000,1.000000,64.000000,-9.000000,-3.000000,10.000000,2.000000,0.000000
1312845.877974,-7.000000,-24.000000,-21.000000,9.000000,-11.000000,-8.000000,3.000000,-1.000000
1312845.877985,-9.000000,14.000000,16.000000,2.000000,1.000000,5.000000,-4.000000,-2.000000
1312845.878459,8.000000,5.000000,16.000000,14.000000,-8.000000,4.000000,-12.000000,-25.000000
1312845.878467,17.000000,-2.000000,-79.000000,-11.000000,-1.000000,-4.000000,12.000000,30.000000
1312845.879059,10.000000,3.000000,23.000000,-9.000000,-5.000000,1.000000,9.000000,3.000000
1312845.879067,-4.000000,-11.000000,-1.000000,-27.000000,-15.000000,-5.000000,0.000000,-5.000000
1312845.899509,9.000000,21.000000,12.000000,8.000000,4.000000,2.000000,-6.000000,-4.000000
1312845.899520,4.000000,24.000000,22.000000,5.000000,0.000000,3.000000,-7.000000,-26.000000
1312845.900073,-21.000000,-18.000000,-106.000000,-44.000000,-18.000000,-12.000000,-11.000000,5.000000
1312845.900081,17.000000,13.000000,109.000000,29.000000,-14.000000,-6.000000,-3.000000,0.000000
1312845.901249,-49.000000,-2.000000,-51.000000,-29.000000,-16.000000,-2.000000,-5.000000,-10.000000
1312845.901261,-4.000000,-3.000000,-29.000000,-35.000000,-3.000000,5.000000,2.000000,-1.000000
1312845.921819,15.000000,-14.000000,22.000000,12.000000,3.000000,2.000000,-4.000000,-10.000000
1312845.921830,6.000000,-14.000000,-13.000000,-7.000000,1.000000,-1.000000,9.000000,17.000000
1312845.959369,7.000000,15.000000,-23.000000,-5.000000,5.000000,3.000000,-2.000000,-14.000000
1312845.959387,-2.000000,9.000000,9.000000,13.000000,3.000000,9.000000,-1.000000,1.000000
1312845.960371,-17.000000,-35.000000,-16.000000,42.000000,14.000000,0.000000,-9.000000,-23.000000
1312845.960398,7.000000,0.000000,-24.000000,17.000000,21.000000,9.000000,14.000000,7.000000
1312845.961046,6.000000,-1.000000,12.000000,2.000000,-7.000000,-17.000000,-8.000000,-1.000000
1312845.961091,-20.000000,-15.000000,19.000000,-12.000000,-4.000000,-2.000000,-14.000000,-25.000000
1312845.962829,18.000000,-5.000000,-56.000000,-30.000000,-23.000000,-1.000000,2.000000,1.000000
1312845.962852,-16.000000,7.000000,5.000000,-1.000000,-10.000000,-2.000000,-8.000000,-17.000000
1312845.966683,4.000000,16.000000,30.000000,-6.000000,4.000000,8.000000,14.000000,22.000000
1312845.966692,-7.000000,0.000000,-12.000000,-26.000000,16.000000,-1.000000,-9.000000,-12.000000
1312845.975012,-11.000000,-2.000000,80.000000,19.000000,-1.000000,-3.000000,9.000000,-7.000000
1312845.975031,32.000000,11.000000,-34.000000,-21.000000,-5.000000,0.000000,-9.000000,0.000000
1312845.981702,5.000000,-19.000000,-31.000000,26.000000,1.000000,-3.000000,-6.000000,0.000000
1312845.981711,0.000000,-1.000000,16.000000,43.000000,9.000000,10.000000,-1.000000,12.000000
1312845.997579,-29.000000,-18.000000,-4.000000,-27.000000,-9.000000,-13.000000,-8.000000,-4.000000
1312845.997588,32.000000,26.000000,-29.000000,-62.000000,-14.000000,-1.000000,2.000000,0.000000
1312846.019149,-16.000000,-15.000000,35.000000,44.000000,23.000000,3.000000,1.000000,0.000000
1312846.019172,30.000000,0.000000,-16.000000,-15.000000,-6.000000,-1.000000,5.000000,13.000000
1312846.020450,0.000000,7.000000,12.000000,-9.000000,1.000000,-3.000000,-4.000000,-8.000000
1312846.020459,-2.000000,0.000000,-60.000000,-14.000000,-10.000000,1.000000,1.000000,0.000000
1312846.034370,-5.000000,-18.000000,50.000000,0.000000,-5.000000,3.000000,3.000000,11.000000
1312846.034381,-4.000000,-9.000000,-33.000000,-6.000000,2.000000,-1.000000,0.000000,15.000000
1312846.049663,-2.000000,-4.000000,-3.000000,-5.000000,-2.000000,1.000000,10.000000,3.000000
1312846.049679,17.000000,5.000000,-1.000000,-1.000000,-4.000000,-1.000000,-7.000000,0.000000
1312846.057040,-6.000000,2.000000,32.000000,1.000000,8.000000,2.000000,-5.000000,-7.000000
1312846.057063,27.000000,18.000000,-28.000000,-11.000000,5.000000,7.000000,5.000000,7.000000
1312846.094438,1.000000,-51.000000,-31.000000,-31.000000,-8.000000,0.000000,-1.000000,-11.000000
1312846.094467,-19.000000,9.000000,33.000000,69.000000,16.000000,1.000000,3.000000,12.000000
1312846.102125,-23.000000,-7.000000,40.000000,16.000000,13.000000,10.000000,5.000000,-6.000000
1312846.102153,-1.000000,-4.000000,-28.000000,-14.000000,-2.000000,-5.000000,-5.000000,-9.000000
1312846.117254,29.000000,25.000000,-38.000000,-8.000000,-4.000000,2.000000,-1.000000,3.000000
1312846.117275,-1.000000,-6.000000,-18.000000,-16.000000,-4.000000,1.000000,4.000000,-4.000000
1312846.117849,17.000000,2.000000,2.000000,29.000000,25.000000,4.000000,9.000000,20.000000
1312846.117858,-6.000000,-14.000000,4.000000,1.000000,-2.000000,5.000000,-3.000000,-8.000000
1312846.119224,1.000000,12.000000,17.000000,2.000000,-3.000000,-3.000000,4.000000,12.000000
1312846.119242,16.000000,10.000000,-24.000000,0.000000,0.000000,4.000000,16.000000,9.000000
1312846.120581,21.000000,-3.000000,-85.000000,-33.000000,-6.000000,5.000000,3.000000,-2.000000
1312846.120608,-15.000000,0.000000,124.000000,33.000000,-6.000000,-1.000000,-4.000000,-5.000000
