# participant_id: P6
# gesture: baseline
# trial_number: 2
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_145249
# samples: 5258
# duration_sec: 30.424
# nominal_sample_rate: 200.0
# effective_sample_rate: 172.79
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1301461.648104,5.000000,-3.000000,0.000000,2.000000,-2.000000,-1.000000,0.000000,-3.000000
1301461.648158,8.000000,-1.000000,-2.000000,-3.000000,0.000000,-2.000000,-5.000000,3.000000
1301461.663525,1.000000,-3.000000,2.000000,0.000000,-1.000000,-3.000000,0.000000,0.000000
1301461.663536,-2.000000,3.000000,1.000000,1.000000,-5.000000,0.000000,-2.000000,5.000000
1301461.663604,-8.000000,0.000000,-4.000000,-5.000000,2.000000,-6.000000,-4.000000,0.000000
1301461.663623,-1.000000,-3.000000,-5.000000,2.000000,-1.000000,-6.000000,-1.000000,1.000000
1301461.664126,-2.000000,-5.000000,0.000000,-4.000000,0.000000,-1.000000,-3.000000,-3.000000
1301461.664137,-3.000000,-2.000000,2.000000,6.000000,-1.000000,2.000000,0.000000,1.000000
1301461.665372,-6.000000,-6.000000,-5.000000,-5.000000,-9.000000,-1.000000,-5.000000,1.000000
1301461.665430,-4.000000,-3.000000,0.000000,6.000000,2.000000,-1.000000,-2.000000,4.000000
1301461.676380,1.000000,-5.000000,1.000000,3.000000,-4.000000,-4.000000,-6.000000,1.000000
1301461.676397,-1.000000,6.000000,3.000000,1.000000,-5.000000,0.000000,-1.000000,-1.000000
1301461.684833,6.000000,4.000000,-3.000000,-8.000000,-3.000000,0.000000,-3.000000,-3.000000
1301461.684850,-4.000000,-1.000000,2.000000,1.000000,3.000000,4.000000,0.000000,-1.000000
1301461.699397,-6.000000,0.000000,-1.000000,0.000000,-4.000000,0.000000,1.000000,0.000000
1301461.699414,-3.000000,-1.000000,-5.000000,-1.000000,4.000000,3.000000,-2.000000,-3.000000
1301461.736671,0.000000,3.000000,0.000000,6.000000,2.000000,-4.000000,0.000000,0.000000
1301461.736689,-1.000000,-5.000000,-5.000000,-1.000000,-6.000000,-5.000000,0.000000,-2.000000
1301461.744447,6.000000,1.000000,-5.000000,-2.000000,-1.000000,-3.000000,1.000000,-5.000000
1301461.744464,0.000000,-5.000000,-1.000000,3.000000,-3.000000,-1.000000,1.000000,-3.000000
1301461.782005,8.000000,-3.000000,-6.000000,6.000000,0.000000,5.000000,4.000000,-3.000000
1301461.782202,-8.000000,4.000000,0.000000,-5.000000,1.000000,-3.000000,-4.000000,-6.000000
1301461.782442,0.000000,-1.000000,-6.000000,-1.000000,-1.000000,1.000000,2.000000,2.000000
1301461.782599,-1.000000,3.000000,-3.000000,0.000000,-4.000000,0.000000,2.000000,-5.000000
1301461.783312,1.000000,-6.000000,2.000000,4.000000,3.000000,-1.000000,3.000000,-5.000000
